state,2014,2022,change,perc_change
Maryland,1,19,18,1800
Arizona,1,13,12,1200
Minnesota,1,12,11,1100
Alabama,2,16,14,700
Wisconsin,2,16,14,700
North Carolina,3,21,18,600
Colorado,2,13,11,550
New Mexico,1,4,3,300
Oklahoma,2,8,6,300
Washington DC,9,20,11,122.22
Pennsylvania,10,34,24,240
Connecticut,1,3,2,200
Oregon,2,6,4,200
Texas,17,50,33,194.12
South Carolina,7,20,13,185.71
Mississippi,5,14,9,180
Ohio,7,19,12,171.43
Louisiana,11,28,17,154.55
Virginia,8,20,12,150
Arkansas,2,5,3,150
Michigan,11,25,14,127.27
Kentucky,4,9,5,125
New York,14,31,17,121.43
Illinois,26,57,31,119.23
Indiana,8,15,7,87.5
Florida,17,31,14,82.35
Missouri,8,14,6,75
Georgia,17,29,12,70.59
New Jersey,6,9,3,50
Tennessee,13,17,4,30.77
Nevada,4,5,1,25
California,41,50,9,21.95
Massachusetts,4,3,-1,-25