state,shoot_2014,shoot_2015,shoot_2016,shoot_2017,shoot_2018,shoot_2019,shoot_2020,shoot_2021,shoot_2022,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021
Alabama,2,4,15,7,14,12,11,23,16,4849377,4858979,4863300,4874747,4887871,4903185,4921532,5039877
Alaska,1,,,,,,3,1,,736732,738432,741894,739795,737438,731545,731158,732673
Arizona,1,6,4,5,2,6,4,6,13,6731484,6828065,6931071,7016270,7171646,7278717,7421401,7276316
Arkansas,2,2,3,3,6,5,13,5,5,2966369,2978204,2988248,3004279,3013825,3017804,3030522,3025891
California,41,27,46,38,35,49,39,45,50,38802500,39144818,39250017,39536653,39557045,39512223,39368078,39237836
Colorado,2,3,4,2,8,4,11,13,13,5355866,5456574,5540545,5607154,5695564,5758736,5807719,5812069
Connecticut,1,2,6,2,2,3,7,2,3,3596677,3590886,3576452,3588184,3572665,3565287,3557006,3605597
Delaware,,1,2,1,1,2,3,7,2,935614,945934,952065,961939,967171,973764,986809,1003384
District of Columbia,6,3,5,5,6,7,8,16,9,658893,672228,681170,693972,702455,705749,712816,670050
Florida,17,26,30,24,30,15,34,31,31,19893297,20271272,20612439,20984400,21299325,21477737,21733312,21781128
Georgia,17,20,17,9,8,19,17,22,29,10097343,10214860,10310371,10429379,10519475,10617423,10710017,10799566
Idaho,,,,,,,1,1,,1634464,1654930,1683140,1716943,1754208,1787065,1826913,1900923
Illinois,26,25,42,37,35,41,68,86,57,12880580,12859995,12801539,12802023,12741080,12671821,12587530,12671469
Indiana,8,10,8,7,6,10,7,14,15,6596855,6619680,6633053,6666818,6691878,6732219,6754953,6805985
Iowa,,2,,2,,3,4,5,2,3107126,3123899,3134693,3145711,3156145,3155070,3163561,3193079
Kansas,,1,5,4,2,4,2,2,3,2904021,2911641,2907289,2913123,2911510,2913314,2913804,2934582
Kentucky,4,4,2,6,4,5,10,4,9,4413457,4425092,4436974,4454189,4468402,4467673,4477253,4509394
Louisiana,11,15,14,15,13,26,27,32,28,4649676,4670724,4681666,4684333,4659978,4648794,4645319,4624047
Maine,1,,,1,,,1,,,1330089,1329328,1331479,1335907,1338404,1344212,1350141,1372247
Maryland,1,13,11,8,9,21,18,20,19,5976407,6006401,6016447,6052177,6042718,6045680,6055802,6165129
Massachusetts,4,5,3,1,1,5,8,4,3,6745408,6794422,6811779,6859819,6902149,6892503,6893574,6984723
Michigan,11,11,11,8,8,9,21,26,25,9909877,9922576,9928300,9962311,9995915,9986857,9966559,10050811
Minnesota,1,5,5,4,3,2,6,11,12,5457173,5489594,5519952,5576606,5611179,5639632,5657342,5707390
Mississippi,5,2,6,13,3,6,17,13,14,2994079,2992333,2988726,2984100,2986530,2976149,2966785,2949965
Missouri,8,13,10,10,14,18,22,17,14,6063589,6083672,6093000,6113532,6126452,6137428,6151548,6168187
Montana,,1,,1,,2,,,,1023579,1032949,1042520,1050493,1062305,1068778,1080577,1104271
Nebraska,,3,,,3,1,2,1,5,1881503,1896190,1907116,1920076,1929268,1934408,1937551,1963692
Nevada,4,1,3,2,4,3,4,5,5,2839099,2890845,2940058,2998039,3034392,3080156,3138259,3143991
New Hampshire,,,,,,,,1,,1326813,1330608,1334795,1342795,1356458,1359711,1366275,1388992
New Jersey,6,9,9,13,10,11,12,14,9,8938175,8958013,8944469,9005644,8908520,8882190,8882371,9267130
New Mexico,1,2,4,2,2,5,3,1,4,2085572,2085109,2081015,2088070,2095428,2096829,2106318,2115877
New York,14,21,15,13,13,9,38,36,31,19746227,19795791,19745289,19849399,19542209,19453561,19336776,19835913
North Carolina,3,12,9,7,10,11,20,22,21,9943964,10042802,10146788,10273419,10383620,10488084,10600824,10551162
Ohio,7,14,11,21,11,14,25,32,19,11594163,11613423,11614373,11658609,11689442,11689100,11693217,11780017
Oklahoma,2,5,1,1,5,4,2,2,8,3878051,3911338,3923561,3930864,3943079,3956971,3980783,3986639
Oregon,2,2,2,,,1,2,7,6,3970239,4028977,4093465,4142776,4190713,4217737,4241507,4246155
Pennsylvania,10,14,10,16,19,19,34,35,34,12787209,12802503,12784227,12805537,12807060,12801989,12783253,12964056
Rhode Island,1,1,,,,,,2,,1055173,1056298,1056426,1059639,1057315,1059361,1057125,1095610
South Carolina,7,11,5,7,4,10,22,17,20,4832482,4896146,4961119,5024369,5084127,5148714,5218040,5190705
South Dakota,1,1,,,,,1,1,,853175,858469,865454,869666,882235,884659,892716,895376
Tennessee,13,11,12,14,18,7,19,15,17,6549352,6600299,6651194,6715984,6770010,6829174,6886833,6975218
Texas,17,18,31,22,15,30,34,57,50,26956958,27469114,27862596,28304596,28701845,28995881,29360756,29527941
Utah,2,,,1,1,,1,1,,2942902,2995919,3051217,3101833,3161105,3205958,3249880,3337975
Vermont,,1,,,,,,,,626562,626042,624594,623657,626299,623989,623347,645570
Virginia,8,5,11,12,4,10,11,16,20,8326289,8382993,8411808,8470020,8517685,8535519,8590562,8642274
Washington,3,1,8,3,3,4,5,7,11,7061530,7170351,7288000,7405743,7535591,7614893,7693612,7738692
West Virginia,,,1,,,,3,1,,1850326,1844128,1831102,1815857,1805832,1792147,1784786,1782959
Wisconsin,2,3,2,2,4,3,10,11,16,5757564,5771337,5778709,5795483,5813568,5822434,5832655,5895908
Wyoming,,,,,,1,,,,584153,586107,585501,579315,577737,578759,582327,578803